Weight,Height,lower_asymptote,upper_asymptote,growth_rate,inflection_point
100,60,-0.000880061,1.980369684,2.778084197,1.4809198
100,65,-0.000967791,1.985695216,2.770478781,1.481928654
100,70,-0.000859694,1.981036251,2.778286608,1.480997272
110,60,-0.000771044,1.962496509,2.991842318,1.386939604
110,65,-0.000785293,1.962280801,2.991845521,1.386922846
110,70,-0.000842146,1.972847878,2.978144839,1.388871805
110,75,-0.000705365,1.957649547,2.998741265,1.385299827
120,60,-0.00070504,1.958926719,3.184555631,1.308396967
120,65,-0.000774593,1.968700212,3.172392794,1.310248695
120,70,-0.000747474,1.944777333,3.193789781,1.306452795
120,75,-0.000626485,1.948279759,3.201883737,1.305484329
130,60,-0.000685852,1.943284996,3.385860368,1.237941154
130,65,-0.000785854,1.9602607,3.363017661,1.240849136
130,70,-0.000428027,1.92682437,3.421019903,1.234517851
130,75,-0.000740538,1.955433533,3.375124153,1.238778612
130,80,-0.000654877,1.935279581,3.397887703,1.235681853
140,60,-0.000612208,1.934730977,3.580342047,1.176579584
140,65,-0.000656603,1.936628819,3.576610415,1.176901456
140,70,-0.000568464,1.935450639,3.585666295,1.175639935
140,75,-0.000597838,1.937375663,3.581730669,1.175900839
140,80,-0.000640661,1.9346347,3.580924799,1.175851921
150,60,-0.000480977,1.913691192,3.79190163,1.120237583
150,65,-0.000569466,1.930648982,3.76480126,1.122807085
150,70,-0.000502801,1.921233351,3.782021147,1.120512303
150,75,-0.000521205,1.921614362,3.782550194,1.120499798
150,80,-0.000557138,1.928170794,3.771518734,1.121558646
160,60,-0.000579234,1.921892922,3.954147151,1.073624012
160,65,-0.000556616,1.922683549,3.947996095,1.074148964
160,70,-0.000636632,1.940081365,3.930306931,1.075369364
160,75,-0.000523848,1.922156409,3.954167561,1.073132749
160,80,-0.000672467,1.937721155,3.932284825,1.075001483
170,60,-0.000438898,1.904988622,4.152867616,1.028561571
170,65,-0.000501532,1.91606989,4.134330507,1.030171337
170,70,-0.000483136,1.914651552,4.139716696,1.029145792
170,75,-0.000616158,1.928501726,4.117508748,1.030794303
170,80,-0.000531711,1.919002907,4.1306152,1.029734925
180,60,-0.000440441,1.902522968,4.328244136,0.9892152088
180,65,-0.000440255,1.908493167,4.324242443,0.9892071151
180,70,-0.000532575,1.9124256,4.312818952,0.9896697362
180,75,-0.0005035,1.914475513,4.309011963,0.9901878135
180,80,-0.00050892,1.910604291,4.317023516,0.9894500051
190,60,-0.000481685,1.910442646,4.481990625,0.9547307986
190,65,-0.00051344,1.908280688,4.486250849,0.9538244262
190,70,-0.000550011,1.912417653,4.476482359,0.9543355423
190,75,-0.000451042,1.906136283,4.492592339,0.9534712781
190,80,-0.000536973,1.910460928,4.481097675,0.9540999794
200,60,-0.000502537,1.910632913,4.6461967,0.9221337106
200,65,-0.000519882,1.902676518,4.659860754,0.9205328623
200,70,-0.000585851,1.90653184,4.648555907,0.9209766839
200,75,-0.000436291,1.891223843,4.68387904,0.9191044708
200,80,-0.000570133,1.909952479,4.644677173,0.9214602576
210,60,-0.000336298,1.89896537,4.838872757,0.8908254592
210,65,-0.000426948,1.890164052,4.849629493,0.8891503488
210,70,-0.00047993,1.898708312,4.830957403,0.8901873184
210,75,-0.000492605,1.903610949,4.821435157,0.8908092073
210,80,-0.00044896,1.893881401,4.83991751,0.8895866743
220,60,-0.000414675,1.899440671,4.992647076,0.8631589899
220,65,-0.000446516,1.895210485,4.999768244,0.8622034676
220,70,-0.000537758,1.895498128,4.99305819,0.8621535286
220,75,-0.000382633,1.887554412,5.015802762,0.8612940339
220,80,-0.000485677,1.895185724,4.99577814,0.8621515968
230,60,-0.000519256,1.897490184,5.147321718,0.8368178805
230,65,-0.000482151,1.893584109,5.15734124,0.8363894324
230,70,-0.000503813,1.89510147,5.153901318,0.8365651001
230,75,-0.000410665,1.889726296,5.169934785,0.8360028616
230,80,-0.000478538,1.893792667,5.156224889,0.8364142519
240,60,-0.000390537,1.890725584,5.324119539,0.812298682
240,65,-0.000319963,1.883379809,5.346024735,0.8113470852
240,70,-0.000410948,1.888856398,5.326616733,0.8120675685
240,75,-0.000411631,1.89107008,5.322230394,0.8123413913
240,80,-0.000252133,1.882977297,5.350622147,0.8113169351
250,65,-0.000270094,1.882082261,5.506934221,0.7890497773
250,70,-0.000311655,1.887346545,5.490756241,0.7897072119
250,75,-0.000264218,1.877701623,5.516011612,0.7885967966
250,80,-0.000354316,1.884479547,5.496377788,0.7894595077
260,65,-0.000218318,1.87258365,5.684053475,0.7673756253
260,70,-0.000436027,1.890149716,5.630296041,0.7693277949
260,75,-0.000310717,1.878879664,5.662368114,0.7679804803
260,80,-0.000278312,1.874750144,5.675208417,0.7676343645
270,65,-0.00024703,1.87512011,5.827406559,0.7482905058
270,70,-0.000405406,1.888691178,5.785915213,0.7497495271
270,75,-0.000286699,1.881217955,5.811981387,0.7488600174
270,80,-0.000359767,1.885822291,5.795827342,0.7494518204
280,70,-0.000291583,1.875203789,5.975454625,0.7300974895
280,75,-0.000412238,1.882408783,5.948930156,0.7308349542
280,80,-0.000408398,1.882668191,5.948418141,0.7308644849
290,70,-0.000277787,1.876475777,6.122365515,0.7130349152
290,75,-0.000393775,1.888251124,6.085925995,0.7141984706
290,80,-0.000411208,1.894643063,6.078656792,0.714624824
300,70,-0.000384754,1.89538667,6.230550209,0.6983236344
300,75,-0.000343691,1.885781464,6.243498306,0.6976750382
300,80,-0.000270302,1.878777461,6.265232162,0.6970051486
310,70,-0.000390355,1.882281894,6.392728389,0.6820362176
310,75,-0.000281183,1.875672602,6.416161808,0.6814493109
310,80,-0.000505282,1.903417395,6.343033809,0.6836966306
320,75,-0.000205257,1.87612392,6.571961704,0.6667784665
320,80,-0.000435205,1.890535846,6.516208817,0.6681357086
330,75,-0.000392324,1.881732286,6.687596807,0.6534383062
330,80,-0.000202039,1.869773871,6.725516193,0.652538167
340,75,-0.000226179,1.858034457,6.888375769,0.6385690748
340,80,-0.000301317,1.878764957,6.841056328,0.6401265331
350,75,-0.00030091,1.872879596,6.986860476,0.6273940152
350,80,-0.00019732,1.861517136,7.029424502,0.6263143317
360,75,-0.000381832,1.877377872,7.114825617,0.6157957838
360,80,-0.000187922,1.871035883,7.14883047,0.6151744889
370,80,-0.000448061,1.889604381,7.225347247,0.6054215277